adduser	3.115
apt	1.4.10
apt-utils	1.4.10
autoconf	2.69-10
automake	1:1.15-6
autopoint	0.19.8.1-2+deb9u1
autotools-dev	20161112.1
base-files	9.9+deb9u13
base-passwd	3.5.43
bash	4.4-5
binutils	2.28-5
binutils-aarch64-linux-gnu	2.28-5
bsdmainutils	9.0.12+nmu1
bsdutils	1:2.29.2-1+deb9u1
build-essential	12.3
bzip2	1.0.6-8.1
ca-certificates	20200601~deb9u1
cgmanager	0.41-2
cmake	3.7.2-1
cmake-data	3.7.2-1
coreutils	8.26-3
cpp	4:6.3.0-4
cpp-6	6.3.0-18+deb9u1
cpp-6-aarch64-linux-gnu	6.3.0-18cross1
cpp-aarch64-linux-gnu	4:6.3.0-4
cron	3.0pl1-128+deb9u1
cross-config	2.6.15-1
crossbuild-essential-arm64	12.3
curl	7.52.1-5+deb9u12
dash	0.5.8-2.4
dbus	1.10.32-0+deb9u1
debconf	1.5.61
debhelper	10.2.5
debian-archive-keyring	2017.5+deb9u1
debianutils	4.8.1.1
dh-autoreconf	14
dh-python	2.20170125
dh-strip-nondeterminism	0.034-1
dialog	1.3-20160828-2
diffutils	1:3.5-3
dirmngr	2.1.18-8~deb9u4
dmsetup	2:1.02.137-2
dns-root-data	2019031302~deb9u1
dnsmasq	2.76-5+deb9u2
dnsmasq-base	2.76-5+deb9u2
dpkg	1.18.25
dpkg-cross	2.6.15-1
dpkg-dev	1.18.25
e2fslibs:amd64	1.43.4-2+deb9u2
e2fsprogs	1.43.4-2+deb9u2
equivs	2.0.9+nmu1
exim4	4.89-2+deb9u7
exim4-base	4.89-2+deb9u7
exim4-config	4.89-2+deb9u7
exim4-daemon-light	4.89-2+deb9u7
fakeroot	1.21-3.1
file	1:5.30-1+deb9u3
findutils	4.6.0+git+20161106-2
g++	4:6.3.0-4
g++-6	6.3.0-18+deb9u1
g++-6-aarch64-linux-gnu	6.3.0-18cross1
g++-aarch64-linux-gnu	4:6.3.0-4
gcc	4:6.3.0-4
gcc-6	6.3.0-18+deb9u1
gcc-6-aarch64-linux-gnu	6.3.0-18cross1
gcc-6-aarch64-linux-gnu-base:amd64	6.3.0-18cross1
gcc-6-base:amd64	6.3.0-18+deb9u1
gcc-6-cross-base	6.3.0-18cross1
gcc-aarch64-linux-gnu	4:6.3.0-4
gettext	0.19.8.1-2+deb9u1
gettext-base	0.19.8.1-2+deb9u1
gir1.2-glib-2.0:amd64	1.50.0-1+b1
git	1:2.11.0-3+deb9u7
git-man	1:2.11.0-3+deb9u7
gnupg	2.1.18-8~deb9u4
gnupg-agent	2.1.18-8~deb9u4
gnupg-l10n	2.1.18-8~deb9u4
gpgv	2.1.18-8~deb9u4
grep	2.27-2
groff-base	1.22.3-9
guile-2.0-libs:amd64	2.0.13+1-4
gzip	1.6-5+b1
hostname	3.18+b1
init-system-helpers	1.48
intltool-debian	0.35.0+20060710.4
iproute2	4.9.0-1+deb9u1
iptables	1.6.0+snapshot20161117-6
krb5-locales	1.15-1+deb9u2
less	481-2.1
libacl1:amd64	2.2.52-3+b1
libalgorithm-diff-perl	1.19.03-1
libalgorithm-diff-xs-perl	0.04-4+b2
libalgorithm-merge-perl	0.08-3
libapparmor1:amd64	2.11.0-3+deb9u2
libapt-inst2.0:amd64	1.4.10
libapt-pkg5.0:amd64	1.4.10
libarchive-zip-perl	1.59-1+deb9u1
libarchive13:amd64	3.2.2-2+deb9u2
libasan3:amd64	6.3.0-18+deb9u1
libasan3-arm64-cross	6.3.0-18cross1
libassuan0:amd64	2.4.3-2
libatm1:amd64	1:2.5.1-2
libatomic1:amd64	6.3.0-18+deb9u1
libatomic1-arm64-cross	6.3.0-18cross1
libattr1:amd64	1:2.4.47-2+b2
libaudit-common	1:2.6.7-2
libaudit1:amd64	1:2.6.7-2
libauthen-sasl-perl	2.1600-1
libblkid1:amd64	2.29.2-1+deb9u1
libbsd0:amd64	0.8.3-1
libbz2-1.0:amd64	1.0.6-8.1
libc-bin	2.24-11+deb9u4
libc-dev-bin	2.24-11+deb9u4
libc6:amd64	2.24-11+deb9u4
libc6-arm64-cross	2.24-10cross1
libc6-dev:amd64	2.24-11+deb9u4
libc6-dev-arm64-cross	2.24-10cross1
libcap-dev:amd64	1:2.25-1
libcap-ng0:amd64	0.7.7-3+b1
libcap2:amd64	1:2.25-1
libcc1-0:amd64	6.3.0-18+deb9u1
libcgmanager0:amd64	0.41-2
libcilkrts5:amd64	6.3.0-18+deb9u1
libcomerr2:amd64	1.43.4-2+deb9u2
libconfig-auto-perl	0.44-1
libconfig-inifiles-perl	2.94-1
libcroco3:amd64	0.6.11-3
libcryptsetup4:amd64	2:1.7.3-4
libcurl3:amd64	7.52.1-5+deb9u12
